Stage,TaskCount,Seed,Makespan,LoadBalanceRatio
V4_addStaged,1000,72,1005.0554,1.3454
V5_addLS,1000,72,248.0078,0.5294
V1_CBO_orig,2000,43,761.0854,0.9357
V2_addLevy,2000,43,726.1646,0.8758
V3_addDynW,2000,43,689.1179,0.8853
V4_addStaged,2000,43,927.8471,0.9688
V5_addLS,2000,43,373.0240,0.4976
V1_CBO_orig,2000,44,1161.0362,1.3144
V2_addLevy,2000,44,1051.9128,1.2040
V3_addDynW,2000,44,1032.8641,1.1826
V4_addStaged,2000,44,1434.1766,1.4710
V5_addLS,2000,44,421.1891,0.5934
V1_CBO_orig,2000,45,727.0871,0.9811
V2_addLevy,2000,45,649.9139,0.9767
V3_addDynW,2000,45,583.9017,0.8938
V4_addStaged,2000,45,855.5297,0.9518
V5_addLS,2000,45,369.1134,0.5174
V1_CBO_orig,2000,46,1081.9590,1.0791
V2_addLevy,2000,46,1048.0298,1.0683
V3_addDynW,2000,46,964.7302,1.0328
V4_addStaged,2000,46,1367.3450,1.0806
V5_addLS,2000,46,437.7222,0.5202
V1_CBO_orig,2000,47,781.1222,0.9654
V2_addLevy,2000,47,710.5435,1.0251
V3_addDynW,2000,47,733.9495,0.9365
V4_addStaged,2000,47,930.8615,1.1682
V5_addLS,2000,47,466.5801,0.5911
V1_CBO_orig,2000,48,802.9211,0.9350
V2_addLevy,2000,48,634.0707,0.7327
V3_addDynW,2000,48,713.3725,0.8468
V4_addStaged,2000,48,980.7300,0.9176
V5_addLS,2000,48,374.8001,0.4927
V1_CBO_orig,2000,49,696.6993,0.8387
V2_addLevy,2000,49,698.8174,0.9659
V3_addDynW,2000,49,673.1896,0.9619
V4_addStaged,2000,49,907.5094,1.1327
V5_addLS,2000,49,401.5294,0.5323
V1_CBO_orig,2000,50,913.2966,1.1527
V2_addLevy,2000,50,943.6469,1.1662
V3_addDynW,2000,50,879.1245,1.1069
V4_addStaged,2000,50,1140.9610,1.3166
V5_addLS,2000,50,425.8943,0.5740
V1_CBO_orig,2000,51,738.9770,1.2059
V2_addLevy,2000,51,817.6037,0.8041
V3_addDynW,2000,51,819.9236,0.8169
V4_addStaged,2000,51,896.9047,0.8277
V5_addLS,2000,51,431.2922,0.5010
V1_CBO_orig,2000,52,1261.4481,1.0262
V2_addLevy,2000,52,1009.5591,1.0190
V3_addDynW,2000,52,1042.4025,0.9328
V4_addStaged,2000,52,1498.5681,1.3031
V5_addLS,2000,52,723.6906,0.7780
V1_CBO_orig,2000,53,954.1470,1.0616
