Algorithm,TaskCount,Run,Seed,Makespan,Cost,Energy,LoadBalanceIndex,ImbalanceDegree
Random,300,23,65,72.192000,0.008547,0.131118,0.256862,3.216066
MinMin,300,23,65,18.048667,0.008693,0.095513,0.929203,0.329977
MaxMin,300,23,65,17.234667,0.008731,0.095782,0.986205,0.043897
FCFS,300,24,66,51.978000,0.009404,0.127819,0.420702,2.179387
RoundRobin,300,24,66,51.978000,0.009404,0.127819,0.420702,2.179387
Random,300,24,66,65.202000,0.009246,0.128805,0.249334,2.959138
MinMin,300,24,66,19.096000,0.010006,0.097360,0.898987,0.321944
MaxMin,300,24,66,17.473000,0.009880,0.097669,0.988154,0.039404
FCFS,300,25,67,39.206000,0.008205,0.101045,0.499455,1.900374
RoundRobin,300,25,67,39.206000,0.008205,0.101045,0.499455,1.900374
Random,300,25,67,67.772000,0.007939,0.106977,0.286855,3.655892
MinMin,300,25,67,17.034000,0.008658,0.079448,0.784461,0.727090
MaxMin,300,25,67,15.320000,0.008581,0.083818,0.955436,0.136615
FCFS,300,26,68,39.742000,0.008328,0.107673,0.516315,1.877527
RoundRobin,300,26,68,39.742000,0.008328,0.107673,0.516315,1.877527
Random,300,26,68,82.298000,0.008870,0.118087,0.132882,4.217964
MinMin,300,26,68,18.094000,0.008866,0.087416,0.844025,0.717779
MaxMin,300,26,68,15.502000,0.008706,0.087638,0.955145,0.151140
FCFS,300,27,69,45.934000,0.008227,0.105253,0.430165,2.335519
RoundRobin,300,27,69,45.934000,0.008227,0.105253,0.430165,2.335519
Random,300,27,69,56.240000,0.007989,0.106070,0.289483,3.178727
MinMin,300,27,69,17.297333,0.008750,0.080793,0.790937,0.781235
MaxMin,300,27,69,15.190000,0.008621,0.083986,0.950975,0.152746
FCFS,300,28,70,50.234000,0.008061,0.109913,0.461482,2.384835
RoundRobin,300,28,70,50.234000,0.008061,0.109913,0.461482,2.384835
Random,300,28,70,53.482000,0.008198,0.107957,0.396793,2.841242
MinMin,300,28,70,18.475333,0.008636,0.091011,0.891969,0.343107
MaxMin,300,28,70,16.024000,0.008479,0.090320,0.955568,0.140774
FCFS,300,29,71,48.962000,0.009120,0.126228,0.418062,1.990091
RoundRobin,300,29,71,48.962000,0.009120,0.126228,0.418062,1.990091
Random,300,29,71,77.844000,0.009147,0.122402,0.290176,3.686967
MinMin,300,29,71,18.112000,0.009443,0.094493,0.919450,0.330506
MaxMin,300,29,71,17.185667,0.009438,0.095095,0.985270,0.045189
FCFS,300,30,72,43.462000,0.008628,0.130702,0.423469,1.707910
RoundRobin,300,30,72,43.462000,0.008628,0.130702,0.423469,1.707910
Random,300,30,72,55.246000,0.008312,0.123203,0.378133,2.505189
MinMin,300,30,72,18.226000,0.008705,0.097443,0.957158,0.213754
MaxMin,300,30,72,17.467333,0.008712,0.098523,0.987558,0.044814
FCFS,500,1,43,77.682000,0.016362,0.218373,0.353174,1.839580
RoundRobin,500,1,43,77.682000,0.016362,0.218373,0.353174,1.839580
Random,500,1,43,107.124000,0.016347,0.227655,0.235674,2.696214
MinMin,500,1,43,28.929000,0.017008,0.143316,0.880590,0.326520
MaxMin,500,1,43,27.090333,0.016973,0.149552,0.979737,0.051932
FCFS,500,2,44,80.184000,0.015833,0.182901,0.378945,2.233557
RoundRobin,500,2,44,80.184000,0.015833,0.182901,0.378945,2.233557
Random,500,2,44,111.250000,0.015854,0.181885,0.264719,3.479255
MinMin,500,2,44,25.814000,0.016565,0.138874,0.973359,0.110304
MaxMin,500,2,44,25.132000,0.016574,0.139409,0.990424,0.031187
FCFS,500,3,45,76.042000,0.015626,0.162247,0.404436,2.422860
RoundRobin,500,3,45,76.042000,0.015626,0.162247,0.404436,2.422860
Random,500,3,45,114.302000,0.015102,0.165341,0.258761,3.921514
MinMin,500,3,45,24.952667,0.016747,0.130009,0.936710,0.240868
MaxMin,500,3,45,23.702000,0.016557,0.130797,0.989977,0.025994
FCFS,500,4,46,72.694000,0.014086,0.167164,0.479742,2.166119
RoundRobin,500,4,46,72.694000,0.014086,0.167164,0.479742,2.166119
Random,500,4,46,92.598000,0.014227,0.165766,0.404513,3.169211
MinMin,500,4,46,25.694000,0.014997,0.138930,0.961364,0.150864
MaxMin,500,4,46,25.283000,0.014995,0.139276,0.991991,0.029810
FCFS,500,5,47,77.938000,0.014500,0.204328,0.432267,1.949575
RoundRobin,500,5,47,77.938000,0.014500,0.204328,0.432267,1.949575
Random,500,5,47,88.918000,0.014646,0.210550,0.308198,2.312752
MinMin,500,5,47,29.376000,0.014818,0.148833,0.874019,0.366910
MaxMin,500,5,47,28.341000,0.014937,0.154378,0.980623,0.059969
FCFS,500,6,48,86.394000,0.015279,0.221141,0.377146,2.063711
RoundRobin,500,6,48,86.394000,0.015279,0.221141,0.377146,2.063711
Random,500,6,48,109.584000,0.014783,0.220564,0.293468,2.861122
MinMin,500,6,48,30.558000,0.015555,0.146607,0.834069,0.420789
