group,n,meanMakespan,meanEnergy,meanCost,meanImbalance,meanObjective
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W2_energy_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74214702,126.70914025,0.04113631,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W2_energy_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W2_energy_priority|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W2_energy_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W2_energy_priority|default_4_to_1|NONE|N800,30,134.35925931,464.96667855,1009.71566864,0.00232891,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W3_cost_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74214702,126.70914025,0.04113631,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W3_cost_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W3_cost_priority|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W3_cost_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W3_cost_priority|default_4_to_1|NONE|N800,30,134.35925931,464.96667855,1009.71566864,0.00232891,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W4_balance_priority|default_4_to_1|NONE|N100,30,17.86014767,57.74214702,126.70914025,0.04113631,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W4_balance_priority|default_4_to_1|NONE|N1000,30,168.06758429,581.92396578,1263.70045594,0.00193656,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W4_balance_priority|default_4_to_1|NONE|N300,30,50.09622690,171.96930539,374.14564975,0.00760588,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W4_balance_priority|default_4_to_1|NONE|N500,30,84.44812440,291.66460707,633.78456086,0.00374550,1.00000000
formalfull|weight_sensitivity|GREEDY_LPT|GREEDY_LPT|W4_balance_priority|default_4_to_1|NONE|N800,30,134.35925931,464.96667855,1009.71566864,0.00232891,1.00000000
formalfull|weight_sensitivity|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N100,30,17.84563909,57.67464671,126.64414241,0.04036130,0.99467778
formalfull|weight_sensitivity|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N1000,30,168.06667249,581.87541377,1263.66493842,0.00181486,0.98370043
formalfull|weight_sensitivity|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N300,30,50.09425785,171.91162017,374.10486351,0.00719793,0.98598410
formalfull|weight_sensitivity|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N500,30,84.44739639,291.61042936,633.74761065,0.00349802,0.98261675
formalfull|weight_sensitivity|LSCBO|LSCBO|W0_equal|default_4_to_1|LEVY|N800,30,134.35790530,464.91721432,1009.68093346,0.00215818,0.98107416
formalfull|weight_sensitivity|LSCBO|LSCBO|W1_makespan_priority|default_4_to_1|LEVY|N100,30,17.85049607,57.67328037,126.64403850,0.04035895,0.99660793
formalfull|weight_sensitivity|LSCBO|LSCBO|W1_makespan_priority|default_4_to_1|LEVY|N1000,30,168.06554103,581.87372944,1263.66378854,0.00181613,0.99042112
formalfull|weight_sensitivity|LSCBO|LSCBO|W1_makespan_priority|default_4_to_1|LEVY|N300,30,50.09533558,171.91463646,374.10553375,0.00717963,0.99110816
formalfull|weight_sensitivity|LSCBO|LSCBO|W1_makespan_priority|default_4_to_1|LEVY|N500,30,84.44724758,291.61354733,633.74853324,0.00349601,0.98937309
formalfull|weight_sensitivity|LSCBO|LSCBO|W1_makespan_priority|default_4_to_1|LEVY|N800,30,134.35863291,464.91809747,1009.68175131,0.00217125,0.98967121
formalfull|weight_sensitivity|LSCBO|LSCBO|W2_energy_priority|default_4_to_1|LEVY|N100,30,17.85297069,57.68075520,126.65168122,0.04030697,0.99622729
formalfull|weight_sensitivity|LSCBO|LSCBO|W2_energy_priority|default_4_to_1|LEVY|N1000,30,168.06626229,581.86997823,1263.66044004,0.00181512,0.99026542
formalfull|weight_sensitivity|LSCBO|LSCBO|W2_energy_priority|default_4_to_1|LEVY|N300,30,50.09283025,171.91595880,374.10627264,0.00724820,0.99245975
formalfull|weight_sensitivity|LSCBO|LSCBO|W2_energy_priority|default_4_to_1|LEVY|N500,30,84.44701311,291.61795740,633.75067741,0.00349877,0.98959994
formalfull|weight_sensitivity|LSCBO|LSCBO|W2_energy_priority|default_4_to_1|LEVY|N800,30,134.35912182,464.91573416,1009.68057769,0.00217866,0.99005375
formalfull|weight_sensitivity|LSCBO|LSCBO|W3_cost_priority|default_4_to_1|LEVY|N100,30,17.84992190,57.67545784,126.64557365,0.04031475,0.99641832
