Variant,TaskCount,Seed,Makespan,LoadBalanceRatio
LS-only,500,70,54.1676,0.1233
FULL,500,70,51.7044,0.1052
base,500,71,205.8771,0.8292
noPhase1,500,71,184.8297,0.7634
noPhase2,500,71,205.8771,0.8292
noPhase3,500,71,205.8771,0.8292
pop50,500,71,197.5863,0.7387
LS-only,500,71,49.5397,0.0791
FULL,500,71,48.3552,0.0705
base,500,72,473.4167,1.2534
noPhase1,500,72,468.8589,1.3701
noPhase2,500,72,473.4167,1.2534
noPhase3,500,72,477.4499,1.2603
pop50,500,72,430.1899,1.1643
LS-only,500,72,62.7040,0.1842
FULL,500,72,59.2575,0.1701
base,1000,43,460.1850,0.8875
noPhase1,1000,43,370.7191,0.9063
noPhase2,1000,43,439.9534,0.8801
noPhase3,1000,43,460.1850,0.8875
pop50,1000,43,432.1815,0.8645
LS-only,1000,43,128.8209,0.2944
FULL,1000,43,137.7891,0.3236
base,1000,44,634.3375,1.3928
noPhase1,1000,44,582.5845,1.2756
noPhase2,1000,44,787.7741,1.3114
noPhase3,1000,44,779.3371,1.5493
pop50,1000,44,605.4018,1.1220
LS-only,1000,44,133.9329,0.3364
FULL,1000,44,115.4734,0.2454
base,1000,45,424.9282,0.9090
noPhase1,1000,45,370.5748,0.9605
noPhase2,1000,45,424.9282,0.9090
noPhase3,1000,45,424.9282,0.9090
pop50,1000,45,371.1648,0.8563
LS-only,1000,45,120.4636,0.2981
FULL,1000,45,94.5920,0.1769
base,1000,46,639.6269,1.0030
noPhase1,1000,46,581.0906,1.1268
noPhase2,1000,46,639.6269,1.0030
noPhase3,1000,46,639.6269,1.0030
pop50,1000,46,532.9761,0.8991
LS-only,1000,46,127.3161,0.2288
FULL,1000,46,150.9303,0.3258
base,1000,47,422.4064,1.1578
noPhase1,1000,47,478.0676,1.2202
noPhase2,1000,47,531.4534,0.9673
noPhase3,1000,47,480.6202,1.1757
pop50,1000,47,331.8999,0.9331
LS-only,1000,47,125.8432,0.2957
FULL,1000,47,130.3171,0.2812
base,1000,48,444.9198,0.8917
noPhase1,1000,48,433.7111,0.9167
noPhase2,1000,48,444.9198,0.8917
noPhase3,1000,48,444.9198,0.8917
pop50,1000,48,435.9440,0.8888
LS-only,1000,48,132.6831,0.2797
FULL,1000,48,125.1638,0.2559
base,1000,49,362.2305,0.9289
noPhase1,1000,49,356.3275,0.9927
noPhase2,1000,49,419.9020,1.0751
noPhase3,1000,49,455.3778,0.8615
pop50,1000,49,302.6598,0.7251
LS-only,1000,49,121.0437,0.2812
FULL,1000,49,131.5112,0.3109
base,1000,50,623.7752,1.4854
noPhase1,1000,50,649.9539,1.3562
noPhase2,1000,50,775.7142,1.1395
noPhase3,1000,50,670.3072,1.5143
pop50,1000,50,548.6782,1.2688
LS-only,1000,50,145.1098,0.3232
FULL,1000,50,122.4950,0.2719
base,1000,51,415.3986,0.7899
noPhase1,1000,51,393.3073,0.7704
noPhase2,1000,51,415.3986,0.7899
noPhase3,1000,51,415.3986,0.7899
pop50,1000,51,393.7949,0.7659
LS-only,1000,51,157.4379,0.3434
FULL,1000,51,167.6338,0.3728
base,1000,52,582.7914,1.1429
noPhase1,1000,52,573.5214,1.1259
noPhase2,1000,52,656.1154,1.0238
noPhase3,1000,52,603.4263,1.1470
pop50,1000,52,564.2976,1.1036
LS-only,1000,52,187.2609,0.4354
FULL,1000,52,171.5707,0.3987
base,1000,53,425.5587,0.8269
noPhase1,1000,53,445.9323,0.7577
noPhase2,1000,53,425.5587,0.8269
noPhase3,1000,53,425.5587,0.8269
pop50,1000,53,435.0548,0.8007
LS-only,1000,53,114.1649,0.1637
FULL,1000,53,127.8148,0.2273
base,1000,54,415.2052,0.7739
noPhase1,1000,54,399.3521,0.7921
noPhase2,1000,54,415.2052,0.7739
noPhase3,1000,54,415.2052,0.7739
pop50,1000,54,367.9976,0.7145
LS-only,1000,54,117.1872,0.1905
FULL,1000,54,126.0665,0.2339
base,1000,55,318.9433,0.6946
noPhase1,1000,55,327.2691,0.7382
noPhase2,1000,55,320.0308,0.6737
noPhase3,1000,55,352.2256,0.6851
pop50,1000,55,336.5464,0.6894
LS-only,1000,55,128.2072,0.2114
FULL,1000,55,130.6006,0.2327
base,1000,56,543.2160,1.0999
noPhase1,1000,56,561.1384,1.1276
noPhase2,1000,56,665.4652,1.0996
noPhase3,1000,56,663.0409,1.2286
pop50,1000,56,531.3199,1.0301
LS-only,1000,56,117.4124,0.1798
FULL,1000,56,110.0723,0.1658
base,1000,57,468.8545,0.9252
noPhase1,1000,57,480.8425,1.0035
noPhase2,1000,57,468.8545,0.9252
noPhase3,1000,57,501.9817,0.9252
pop50,1000,57,425.5504,0.8865
LS-only,1000,57,182.9723,0.4406
FULL,1000,57,146.0724,0.3055
base,1000,58,343.5419,0.7772
noPhase1,1000,58,343.0797,0.8410
noPhase2,1000,58,343.5419,0.7772
noPhase3,1000,58,343.5419,0.7772
pop50,1000,58,320.0205,0.7104
LS-only,1000,58,118.9331,0.2305
FULL,1000,58,118.0039,0.2112
base,1000,59,284.3290,0.7558
noPhase1,1000,59,330.1042,0.7803
noPhase2,1000,59,293.5499,0.7514
noPhase3,1000,59,325.5792,0.7955
pop50,1000,59,276.8266,0.6851
LS-only,1000,59,119.6142,0.2728
FULL,1000,59,112.5133,0.2161
base,1000,60,481.0229,0.8792
noPhase1,1000,60,429.5734,1.0204
noPhase2,1000,60,481.0229,0.8792
noPhase3,1000,60,481.0229,0.8792
pop50,1000,60,492.8196,0.9146
LS-only,1000,60,91.0944,0.1144
FULL,1000,60,101.7794,0.1705
base,1000,61,502.4078,0.8287
noPhase1,1000,61,466.7671,0.8292
noPhase2,1000,61,517.2636,0.8108
noPhase3,1000,61,584.7558,0.8797
pop50,1000,61,491.0573,0.7806
LS-only,1000,61,164.8357,0.3218
FULL,1000,61,173.9816,0.3418
base,1000,62,182.1003,0.4807
noPhase1,1000,62,221.7341,0.6495
noPhase2,1000,62,182.1003,0.4807
noPhase3,1000,62,182.1003,0.4807
pop50,1000,62,176.8418,0.4709
LS-only,1000,62,81.6433,0.1180
FULL,1000,62,81.9441,0.1170
base,1000,63,996.5582,1.2299
noPhase1,1000,63,1051.9460,1.2416
noPhase2,1000,63,996.5582,1.2299
noPhase3,1000,63,996.5582,1.2299
pop50,1000,63,912.6216,1.1687
LS-only,1000,63,200.7947,0.4014
FULL,1000,63,211.4828,0.4389
base,1000,64,358.7840,0.6309
noPhase1,1000,64,450.7924,0.7247
noPhase2,1000,64,358.7840,0.6309
noPhase3,1000,64,375.7738,0.6531
pop50,1000,64,362.1082,0.6551
LS-only,1000,64,169.9331,0.3047
FULL,1000,64,150.7221,0.2434
base,1000,65,449.3865,1.0219
noPhase1,1000,65,572.4088,1.1654
noPhase2,1000,65,615.9769,1.0165
noPhase3,1000,65,449.3865,1.0219
pop50,1000,65,580.1257,0.9507
LS-only,1000,65,184.5624,0.4495
FULL,1000,65,150.9418,0.3585
base,1000,66,464.1675,0.9041
noPhase1,1000,66,546.6757,1.0563
noPhase2,1000,66,464.1675,0.9041
noPhase3,1000,66,464.1675,0.9041
pop50,1000,66,461.4091,0.9339
LS-only,1000,66,128.0538,0.2932
FULL,1000,66,128.0538,0.2932
base,1000,67,449.0499,1.0901
noPhase1,1000,67,441.1739,0.9754
noPhase2,1000,67,506.0703,0.9149
noPhase3,1000,67,489.8628,1.1711
pop50,1000,67,313.8956,0.7445
LS-only,1000,67,123.6949,0.2621
FULL,1000,67,121.0536,0.2558
base,1000,68,249.9659,0.6067
noPhase1,1000,68,320.0332,0.6738
noPhase2,1000,68,249.9659,0.6067
noPhase3,1000,68,249.9659,0.6067
pop50,1000,68,258.7880,0.6034
LS-only,1000,68,100.7201,0.1556
FULL,1000,68,110.1562,0.2014
base,1000,69,237.6536,0.5698
noPhase1,1000,69,235.1592,0.6423
noPhase2,1000,69,237.6536,0.5698
noPhase3,1000,69,237.6536,0.5698
pop50,1000,69,217.3760,0.5335
LS-only,1000,69,105.8721,0.1765
FULL,1000,69,107.2259,0.1888
base,1000,70,630.7553,1.0208
noPhase1,1000,70,613.8439,1.0081
noPhase2,1000,70,469.5589,1.0262
noPhase3,1000,70,630.7553,1.0208
pop50,1000,70,465.1671,0.9525
LS-only,1000,70,162.5183,0.3653
FULL,1000,70,126.9631,0.2423
base,1000,71,476.9926,0.8044
noPhase1,1000,71,400.5410,0.8923
noPhase2,1000,71,461.9999,0.7898
noPhase3,1000,71,476.9926,0.8044
pop50,1000,71,431.5615,0.9235
LS-only,1000,71,155.5561,0.3292
FULL,1000,71,132.5183,0.2356
base,1000,72,1005.0554,1.3454
noPhase1,1000,72,848.5449,1.1888
noPhase2,1000,72,1195.0735,1.3342
noPhase3,1000,72,1005.0554,1.3454
pop50,1000,72,877.6884,1.2253
LS-only,1000,72,265.1619,0.5858
FULL,1000,72,248.0078,0.5294
base,2000,43,927.8471,0.9688
noPhase1,2000,43,739.3460,0.9187
noPhase2,2000,43,924.8156,0.9036
noPhase3,2000,43,927.8471,0.9688
pop50,2000,43,806.7722,1.0131
LS-only,2000,43,404.2850,0.5335
FULL,2000,43,373.0240,0.4976
base,2000,44,1434.1766,1.4710
noPhase1,2000,44,1337.3595,1.4358
noPhase2,2000,44,1902.4037,1.4192
noPhase3,2000,44,1531.3165,1.4969
pop50,2000,44,1269.7842,1.4362
LS-only,2000,44,418.9689,0.5744
FULL,2000,44,421.1891,0.5934
base,2000,45,855.5297,0.9518
noPhase1,2000,45,746.2508,0.9852
noPhase2,2000,45,855.5297,0.9518
noPhase3,2000,45,855.5297,0.9518
pop50,2000,45,579.4050,0.8691
LS-only,2000,45,402.4052,0.5701
FULL,2000,45,369.1134,0.5174
base,2000,46,1367.3450,1.0806
noPhase1,2000,46,1135.0774,1.1211
noPhase2,2000,46,1367.3450,1.0806
noPhase3,2000,46,1367.3450,1.0806
pop50,2000,46,1248.6036,1.0776
LS-only,2000,46,489.5868,0.5723
FULL,2000,46,437.7222,0.5202
base,2000,47,930.8615,1.1682
noPhase1,2000,47,1037.5778,1.1846
noPhase2,2000,47,1437.5281,1.2168
noPhase3,2000,47,1234.4881,1.3924
pop50,2000,47,813.7834,1.0714
LS-only,2000,47,389.3239,0.5198
FULL,2000,47,466.5801,0.5911
base,2000,48,980.7300,0.9176
noPhase1,2000,48,912.8294,1.0148
noPhase2,2000,48,980.7300,0.9176
noPhase3,2000,48,980.7300,0.9176
pop50,2000,48,872.0984,0.8499
LS-only,2000,48,386.2503,0.5167
FULL,2000,48,374.8001,0.4927
base,2000,49,907.5094,1.1327
noPhase1,2000,49,920.2517,1.1456
noPhase2,2000,49,740.8196,0.9551
noPhase3,2000,49,1012.4756,0.9551
pop50,2000,49,857.1204,1.0294
LS-only,2000,49,370.8654,0.4928
FULL,2000,49,401.5294,0.5323
base,2000,50,1140.9610,1.3166
noPhase1,2000,50,1070.1302,1.2402
noPhase2,2000,50,1670.7571,1.2421
noPhase3,2000,50,1283.4533,1.4379
pop50,2000,50,1158.8988,1.3148
LS-only,2000,50,448.6070,0.6086
FULL,2000,50,425.8943,0.5740
base,2000,51,896.9047,0.8277
noPhase1,2000,51,952.6272,0.8514
noPhase2,2000,51,896.9047,0.8277
noPhase3,2000,51,896.9047,0.8277
pop50,2000,51,867.9078,0.8338
LS-only,2000,51,467.0553,0.5460
FULL,2000,51,431.2922,0.5010
base,2000,52,1498.5681,1.3031
noPhase1,2000,52,1130.6042,1.0943
noPhase2,2000,52,1323.4855,1.1809
noPhase3,2000,52,1501.7645,1.3207
pop50,2000,52,1530.5603,1.3194
LS-only,2000,52,693.0273,0.7506
FULL,2000,52,723.6906,0.7780
base,2000,53,962.8202,0.7902
noPhase1,2000,53,1103.2084,0.8274
noPhase2,2000,53,1089.0270,0.7970
noPhase3,2000,53,1107.7800,0.8758
pop50,2000,53,1000.0823,0.8486
LS-only,2000,53,310.5648,0.3445
FULL,2000,53,326.1765,0.3770
base,2000,54,932.1430,0.8553
noPhase1,2000,54,841.1236,0.9456
noPhase2,2000,54,932.1430,0.8553
noPhase3,2000,54,932.1430,0.8553
pop50,2000,54,899.0163,0.8219
LS-only,2000,54,350.7131,0.4042
FULL,2000,54,346.2168,0.4169
base,2000,55,744.4838,0.7229
noPhase1,2000,55,808.6163,0.7488
noPhase2,2000,55,744.4838,0.7229
noPhase3,2000,55,744.4838,0.7229
pop50,2000,55,735.2448,0.7644
LS-only,2000,55,325.1193,0.3654
